[2026-04-22 10:17:00] [INFO] === STEP 4: Add YAML Frontmatter ===
[2026-04-22 10:17:00] [INFO] Processing 1016 MD files...
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch15-a.md (3283 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch14-a.md (3892 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch15-i.md (2370 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ashby-introduction-to-cybernetics-1956.md (110319 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch3-e.md (2557 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch22-j.md (1591 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch9-a.md (2679 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch4-a.md (2298 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch16-c.md (3056 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch2-d.md (4274 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch13-b.md (3439 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch19-a.md (2563 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch6-e.md (3157 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch4-d.md (2052 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch20-e.md (2685 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch8-c.md (2467 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch15-d.md (2511 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch3-a.md (5141 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch12-c.md (4005 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch4-e.md (2140 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch13-f.md (2332 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch6-f.md (2353 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch16-g.md (1890 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch8-a.md (2897 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch21-a.md (3017 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch19-j.md (2025 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch13-h.md (3128 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch18-a.md (2275 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch7-a.md (3300 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch13-e.md (3836 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch9-d.md (2348 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch5-c.md (2614 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch23-a.md (2907 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch14-g.md (1948 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch23-b.md (2501 words)
